URL,1. Group,2. Page Type,3. Timeframe,4. Funnel
https://www.wearethemighty.com/history/5-meals-that-won-wars/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/concrete-bombs/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/wwii-facts-that-are-rare/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tactical/how-marines-take-a-beach/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/jim-webb-killed-guy-threw-grenade/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tactical/fighter-pilot-dogfight-thoughts/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/pavlovs-house-stalingrad/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/world-war-ii-vet-made-video-games/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/first-african-american-paratroopers/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/entertainment/pigeons-for-sea-rescues/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-heroes/amazing-females-military-pioneers/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/chesty-puller-rebel-wars/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/john-glenn-combat-career/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tactical/this-retro-navy-f-14-footage/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tactical/that-time-marines-called-customer-service/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/mike-vining-most-badass-meme/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/50-ships-sank-battle-for-guadalcanal/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/teddy-roosevelts-prize-pistol-was-stolen/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/military-news/female-special-ops-unit/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/v-22-osprey-helped-take-down-taliban-warlord/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/mig-alley-deadly/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/why-field-hospitals-have-changed/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/bloodiest-day-british-military-history/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/iranian-fantatics-sparked-war/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/how-female-roles-have-evolved/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/this-hero-wwii-destroyer-was-reached-in-the-worlds-deepest-shipwreck-dive/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/today-in-military-history/today-in-military-history-tripoli/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/today-in-military-history-us-evacuates-saigon/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/how-north-korea-thinks-the-war-started/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/one-of-largest-ever-tank-battles/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/heres-how-war-called-for-the-invention-of-canning/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/best-military-veteran-tv-writers/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/tactical/this-is-the-deadly-marine-corps-training-required-to-earn-a-dive-bubble/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/entertainment/top-films-produced-by-military-veterans-and-yes-star-wars-made-the-cut/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/this-time-tested-battleship-survived-two-world-wars-and-fired-the-opening-shots-on-d-day/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/military-life/this-is-why-the-military-wants-troops-to-remove-their-wisdom-teeth/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/history/this-lady-was-the-most-wanted-spy-of-wwii/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/entertainment/5-reasons-e-9s-dont-use-social-media/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-movies/5-great-film-editors-who-also-served-in-the-military/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/veterans/silicon-valley-veterans/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/articles/these-military-veterans-were-involved-with-all-in-the-family/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/dive-bombing/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/world-series-sailor-wwi/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/intel/why-saki-airbase-pilots-are-still-at-risk/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-tactical/kf-21-fighter-jet/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/raf-pilots-shot-down-in-world-war-ii/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/khalkhin-gol-the-battle-that-caused-pearl-harbor/,Non-Membership,Feature,Non-Evergreen,
https://www.wearethemighty.com/mighty-history/banzai-charges-wwii/,Non-Membership,Feature,Non-Evergreen,
