id,post_title,seo_title,meta__yoast_wpseo_title,seo_description,meta__yoast_wpseo_metadesc
https://www.bobvila.com/articles/best-gas-lawn-mower/,,The Best Gas Lawn Mower Options - Top Picks by Bob Vila,The Best Gas Lawn Mower Options - Top Picks by Bob Vila,,
https://www.bobvila.com/articles/best-lawn-care-products/,,"The 12 Best Lawn Care Products for a Healthy, Beautiful Yard","The 12 Best Lawn Care Products for a Healthy, Beautiful Yard",,
https://www.bobvila.com/articles/best-trees-as-gifts/,The 21 Best Trees as Gifts,The 14 Best Trees as Gifts - Tree Gift Ideas from Bob Vila,The 14 Best Trees as Gifts - Tree Gift Ideas from Bob Vila,,
https://www.bobvila.com/articles/best-air-conditioner/,"The Best Air Conditioners, Tested","The Best Air Conditioners, Tested - Recommendations from Bob Vila","The Best Air Conditioners, Tested - Recommendations from Bob Vila",,
https://www.bobvila.com/articles/best-ductless-air-conditioner/,"The Best Ductless Air Conditioners, Reviewed","The Best Ductless Air Conditioners, Reviewed - Top Picks by Bob Vilas","The Best Ductless Air Conditioners, Reviewed - Top Picks by Bob Vilas",,
https://www.bobvila.com/articles/best-u-shaped-air-conditioners/,"The Best U-Shaped Air Conditioners, Vetted","The Best U-Shaped Air Conditioners, Vetted %%sep%% Picks by %%sitename%%","The Best U-Shaped Air Conditioners, Vetted %%sep%% Picks by %%sitename%%",,
https://www.bobvila.com/articles/best-energy-efficient-air-conditioners/,The Best Energy-Efficient Air Conditioners,The Best Energy Efficient Air Conditioners %%sep%% Picks from %%sitename%%,The Best Energy Efficient Air Conditioners %%sep%% Picks from %%sitename%%,,
https://www.bobvila.com/articles/best-mold-removal-companies/,The Best Mold Removal Companies in America,The Best Mold Removal Companies in America - Picks by Bob Vila,The Best Mold Removal Companies in America - Picks by Bob Vila,,
https://www.bobvila.com/articles/best-barn-doors/,The Best Barn Doors You Can Get,The Best Barn Doors You Can Get - Bob Vila,The Best Barn Doors You Can Get - Bob Vila,,
https://www.bobvila.com/articles/best-door-knobs/,The Best Door Knobs,The Best Door Knobs - Top Picks from Bob Vila,The Best Door Knobs - Top Picks from Bob Vila,,
https://www.bobvila.com/articles/best-work-gloves/,"The Best Work Gloves of 2024, Tested and Reviewed","The Best Work Gloves of 2024, Tested and Reviewed","The Best Work Gloves of 2024, Tested and Reviewed",,
https://www.bobvila.com/articles/best-winter-work-gloves/,"The Best Winter Work Gloves, According to Testing","The Best Winter Work Gloves, According to Testing","The Best Winter Work Gloves, According to Testing",,
https://www.bobvila.com/articles/best-boot-dryer/,The 8 Best Boot Dryers of 2024,The 8 Best Boot Dryers of 2024 - Reviewed by Bob Vila,The 8 Best Boot Dryers of 2024 - Reviewed by Bob Vila,,
https://www.bobvila.com/articles/best-hard-hat-light/,"The Best Hard Hat Lights, Tested","The Best Hard Hat Lights, Tested - Picks by Bob Vila","The Best Hard Hat Lights, Tested - Picks by Bob Vila",,
